0 Nm | tmp=25.0C | err=0x00
# prof_imu_max_us=1260
# prof_ctl_max_us=913845
# prof_disp_max_us=7898
# prof_ws_max_us=40
# prof_tel_max_us=301
# prof_crsf_max_us=843990
# prof_can_max_us=573
# prof_bal_max_us=905563
# prof_adrv_max_us=2124
# prof_loopgap_max_us=921327
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=0.6055
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.15:81.60
# sp_curve_2=0.50:82.00
# sp_curve_3=1.00:81.10
# base_sp_fwd=84.00
# base_sp_tip=81.10
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
19,1,-3.85,-0.02,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,0.00,-0.03,3.911,3.543,3.925,3.557,0.00,0.00,0
39,1,-3.85,-0.03,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,0.00,-0.03,3.911,3.543,3.939,3.571,0.00,0.00,0
60,1,-3.85,-0.11,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,0.00,-0.06,3.916,3.548,3.953,3.585,0.00,0.00,0
79,1,-3.85,-0.13,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,-0.05,-0.06,3.926,3.556,3.967,3.599,0.00,0.00,0
99,1,-3.85,-0.06,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,-0.05,-0.06,3.938,3.566,3.981,3.613,0.00,0.00,0
119,1,-3.80,0.47,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,-0.05,-0.06,3.950,3.575,3.995,3.627,0.00,0.00,0
139,1,-3.71,1.74,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,-0.05,-0.06,3.964,3.586,4.009,3.641,0.00,0.00,0
160,1,-3.61,2.64,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,-0.05,-0.06,3.976,3.596,4.023,3.655,0.00,0.00,0
180,1,-3.52,3.18,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,-0.05,-0.06,3.990,3.606,4.037,3.669,0.00,0.00,0
199,1,-3.42,3.85,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.18,-0.05,-0.06,4.004,3.616,4.051,3.683,0.00,0.00,0
219,1,-3.30,4.45,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.05,0.03,4.017,3.625,4.065,3.697,0.00,0.00,0
239,1,-3.14,5.47,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.07,0.03,4.030,3.635,4.079,3.711,0.00,0.00,0
260,1,-2.89,7.65,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.07,0.03,4.045,3.645,4.093,3.725,0.00,0.00,0
279,1,-2.52,10.83,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.07,0.03,4.058,3.655,4.107,3.739,0.00,0.00,0
299,1,-2.08,14.30,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.07,0.03,4.071,3.666,4.121,3.753,0.00,0.00,0
319,1,-1.64,16.79,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.07,0.03,4.086,3.678,4.135,3.767,0.00,0.00,0
339,1,-1.17,18.68,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.07,0.03,4.099,3.689,4.149,3.781,0.00,0.00,0
359,1,-0.73,19.63,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.07,0.03,4.113,3.701,4.163,3.795,0.00,0.00,0
379,1,-0.30,20.14,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.07,0.02,4.127,3.713,4.177,3.809,0.00,0.00,0
399,1,0.12,20.40,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.02,4.141,3.724,4.191,3.823,0.00,0.00,0
419,1,0.54,20.76,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.02,4.155,3.736,4.205,3.837,0.00,0.00,0
439,1,0.97,21.11,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.02,4.169,3.748,4.219,3.851,0.00,0.00,0
460,1,1.43,21.73,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.02,4.182,3.760,4.233,3.865,0.00,0.00,0
478,1,1.90,22.44,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.02,4.196,3.773,4.247,3.879,0.00,0.00,0
499,1,2.40,23.22,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.02,4.209,3.785,4.261,3.893,0.00,0.00,0
519,1,2.90,23.80,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.02,4.225,3.798,4.275,3.907,0.00,0.00,0
539,1,3.39,24.13,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,4.239,3.811,4.289,3.921,0.00,0.00,0
560,1,3.88,24.23,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.01,4.252,3.824,4.303,3.935,0.00,0.00,0
580,1,4.37,24.36,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.01,4.267,3.837,4.317,3.949,0.00,0.00,0
599,1,4.87,24.64,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.01,4.281,3.849,4.331,3.963,0.00,0.00,0
619,1,5.39,25.05,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.01,4.294,3.862,4.345,3.977,0.00,0.00,0
639,1,5.89,25.23,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.01,4.308,3.875,4.359,3.991,0.00,0.00,0
660,1,6.40,25.38,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.01,4.322,3.889,4.373,4.005,0.00,0.00,0
679,1,6.92,25.62,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.01,4.336,3.902,4.387,4.019,0.00,0.00,0
699,1,7.44,25.75,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.01,4.351,3.915,4.401,4.032,0.00,0.00,0
719,1,7.97,26.10,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,-0.01,4.364,3.928,4.415,4.046,0.00,0.00,0
739,1,8.50,26.21,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,-0.01,4.378,3.941,4.429,4.060,0.00,0.00,0
760,1,9.04,26.57,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,-0.01,4.392,3.955,4.443,4.073,0.00,0.00,0
780,1,9.58,26.90,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,-0.01,4.407,3.969,4.457,4.087,0.00,0.00,0
799,1,10.13,27.16,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,-0.01,4.420,3.982,4.471,4.100,0.00,0.00,0
819,1,10.68,27.22,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,-0.01,4.434,3.995,4.485,4.113,0.00,0.00,0
839,1,11.23,27.33,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,-0.01,4.449,4.009,4.499,4.126,0.00,0.00,0
859,1,11.78,27.36,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,-0.01,4.464,4.023,4.513,4.139,0.00,0.00,0
879,1,12.33,27.48,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.01,4.477,4.036,4.527,4.151,0.00,0.00,0
899,1,12.87,27.42,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.01,4.492,4.050,4.541,4.164,0.00,0.00,0
919,1,13.43,27.56,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.01,4.507,4.064,4.555,4.177,0.00,0.00,0
939,1,13.99,27.80,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.01,4.520,4.078,4.569,4.189,0.00,0.00,0
960,1,14.55,27.90,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.01,4.535,4.091,4.583,4.201,0.00,0.00,0
980,1,15.12,28.05,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.01,4.550,4.106,4.597,4.213,0.00,0.00,0
999,1,15.68,28.12,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.01,4.564,4.119,4.611,4.225,0.00,0.00,0
1019,1,16.25,28.30,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.03,4.578,4.133,4.625,4.237,0.00,0.00,0
1039,1,16.82,28.45,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,-0.03,4.592,4.147,4.639,4.249,0.00,0.00,0
1060,1,17.40,28.64,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,-0.03,4.606,4.161,4.653,4.261,0.00,0.00,0
1079,1,17.97,28.65,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,-0.03,4.620,4.175,4.667,4.272,0.00,0.00,0
1099,1,18.55,28.80,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,-0.03,4.634,4.190,4.681,4.284,0.00,0.00,0
1119,1,19.13,28.78,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,-0.03,4.649,4.203,4.695,4.295,0.00,0.00,0
1139,1,19.70,28.85,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,-0.03,4.662,4.217,4.709,4.307,0.00,0.00,0
1160,1,20.27,28.84,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,-0.03,4.677,4.231,4.723,4.318,0.00,0.00,0
1179,1,20.85,28.98,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.03,4.691,4.245,4.737,4.329,0.00,0.00,0
1199,1,21.44,29.25,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,0.03,4.705,4.259,4.751,4.340,0.00,0.00,0
1219,1,22.03,29.38,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,0.03,4.719,4.273,4.765,4.351,0.00,0.00,0
1239,1,22.63,29.53,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,0.03,4.733,4.287,4.779,4.361,0.00,0.00,0
1260,1,23.22,29.51,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,0.03,4.746,4.301,4.793,4.372,0.00,0.00,0
1279,1,23.81,29.71,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,0.03,4.761,4.316,4.807,4.383,0.00,0.00,0
1299,1,24.41,29.87,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,0.03,4.775,4.330,4.821,4.393,0.00,0.00,0
1319,1,25.01,30.01,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,0.03,4.789,4.344,4.835,4.403,0.00,0.00,0
1339,1,25.61,29.91,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.00,0.00,4.803,4.358,4.849,4.414,0.00,0.00,0
1360,1,26.22,30.07,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.00,4.817,4.372,4.863,4.424,0.00,0.00,0
1379,1,26.81,30.12,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.00,4.832,4.387,4.877,4.434,0.00,0.00,0
1399,1,27.41,30.10,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.00,4.845,4.400,4.891,4.444,0.00,0.00,0
1419,1,28.01,30.09,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.00,4.860,4.415,4.905,4.454,0.00,0.00,0
1439,1,28.60,29.96,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.00,4.873,4.427,4.919,4.464,0.00,0.00,0
1459,1,29.17,29.37,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.00,4.887,4.440,4.933,4.473,0.00,0.00,0
1480,1,29.70,28.31,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.00,4.902,4.451,4.947,4.483,0.00,0.00,0
1499,1,30.17,26.40,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,4.917,4.461,4.961,4.492,0.00,0.00,0
1519,1,30.59,24.56,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,4.930,4.471,4.975,4.502,0.00,0.00,0
1539,1,30.96,22.68,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,4.945,4.481,4.989,4.511,0.00,0.00,0
1559,1,31.31,21.27,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,4.959,4.490,5.003,4.520,0.00,0.00,0
1580,1,31.67,20.38,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,4.972,4.499,5.017,4.530,0.00,0.00,0
1599,1,32.04,20.08,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,4.987,4.509,5.031,4.539,0.00,0.00,0
1619,1,32.45,20.33,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.001,4.517,5.045,4.548,0.00,0.00,0
1639,1,32.88,20.76,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.014,4.527,5.059,4.557,0.00,0.00,0
1659,1,33.33,21.18,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,-0.04,5.029,4.537,5.073,4.565,0.00,0.00,0
1680,1,33.77,21.43,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.04,5.044,4.546,5.087,4.574,0.00,0.00,0
1699,1,34.20,21.30,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.04,5.058,4.555,5.101,4.583,0.00,0.00,0
1719,1,34.61,20.80,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.04,5.072,4.564,5.115,4.591,0.00,0.00,0
1739,1,34.99,20.17,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.04,5.086,4.573,5.129,4.600,0.00,0.00,0
1759,1,35.36,19.63,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.04,5.100,4.581,5.143,4.608,0.00,0.00,0
1780,1,35.71,18.97,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.04,5.114,4.590,5.157,4.617,0.00,0.00,0
1799,1,36.07,18.86,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.04,5.129,4.598,5.171,4.625,0.00,0.00,0
1819,1,36.45,18.89,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.02,5.142,4.606,5.184,4.633,0.00,0.00,0
1839,1,36.83,18.97,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.03,0.02,5.156,4.615,5.197,4.641,0.00,0.00,0
1859,1,37.21,19.06,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.03,0.02,5.170,4.624,5.211,4.649,0.00,0.00,0
1879,1,37.60,19.22,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.03,0.02,5.183,4.632,5.224,4.657,0.00,0.00,0
1899,1,37.99,19.06,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.03,0.02,5.196,4.640,5.237,4.665,0.00,0.00,0
1919,1,38.36,18.82,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.03,0.02,5.210,4.648,5.250,4.673,0.00,0.00,0
1939,1,38.72,18.54,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.03,0.02,5.222,4.656,5.263,4.681,0.00,0.00,0
1959,1,39.07,18.29,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.03,0.02,5.235,4.664,5.275,4.688,0.00,0.00,0
1980,1,39.42,17.98,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.03,0.04,5.248,4.672,5.288,4.696,0.00,0.00,0
1999,1,39.77,17.87,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.04,5.261,4.680,5.300,4.704,0.00,0.00,0
2019,1,40.11,17.71,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.04,5.274,4.687,5.313,4.711,0.00,0.00,0
2039,1,40.46,17.51,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.04,5.286,4.694,5.325,4.718,0.00,0.00,0
2059,1,40.80,17.37,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.04,5.299,4.702,5.337,4.726,0.00,0.00,0
2080,1,41.14,17.29,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.04,5.311,4.710,5.349,4.733,0.00,0.00,0
2099,1,41.49,17.26,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.04,5.324,4.717,5.361,4.740,0.00,0.00,0
2119,1,41.83,17.18,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.04,5.335,4.724,5.373,4.747,0.00,0.00,0
2138,1,42.09,17.16,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.01,5.347,4.731,5.384,4.754,0.00,0.00,0
2159,1,42.51,17.07,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.01,5.358,4.738,5.396,4.761,0.00,0.00,0
2180,1,42.84,16.89,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.01,5.370,4.746,5.407,4.768,0.00,0.00,0
2199,1,43.17,16.67,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.01,5.383,4.753,5.419,4.775,0.00,0.00,0
2219,1,43.50,16.56,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.01,5.395,4.760,5.430,4.782,0.00,0.00,0
2239,1,43.83,16.44,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.01,5.406,4.767,5.441,4.789,0.00,0.00,0
2259,1,44.16,16.38,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.01,5.417,4.774,5.452,4.795,0.00,0.00,0
2279,1,44.48,16.20,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.01,5.429,4.781,5.463,4.802,0.00,0.00,0
2299,1,44.80,16.11,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.01,5.440,4.787,5.474,4.808,0.00,0.00,0
2319,1,45.11,15.83,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.450,4.794,5.484,4.815,0.00,0.00,0
2339,1,45.42,15.59,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.462,4.801,5.495,4.821,0.00,0.00,0
2359,1,45.72,15.37,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.473,4.807,5.506,4.828,0.00,0.00,0
2380,1,46.01,15.16,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.484,4.813,5.516,4.834,0.00,0.00,0
2399,1,46.32,15.13,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.494,4.820,5.526,4.840,0.00,0.00,0
2419,1,46.62,15.10,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.503,4.826,5.537,4.846,0.00,0.00,0
2439,1,46.92,15.08,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.01,5.514,4.833,5.547,4.853,0.00,0.00,0
2459,1,47.23,15.18,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.04,0.00,5.525,4.839,5.557,4.859,0.00,0.00,0
2480,1,47.54,15.29,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.00,5.535,4.845,5.567,4.865,0.00,0.00,0
2499,1,47.86,15.36,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.00,5.545,4.851,5.576,4.871,0.00,0.00,0
2519,1,48.17,15.30,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.00,5.554,4.857,5.586,4.877,0.00,0.00,0
2539,1,48.47,15.10,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.00,5.565,4.863,5.596,4.882,0.00,0.00,0
2559,1,48.76,14.81,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.00,5.575,4.869,5.605,4.888,0.00,0.00,0
2580,1,49.03,14.50,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.00,5.585,4.875,5.615,4.894,0.00,0.00,0
2599,1,49.32,14.42,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.00,5.594,4.881,5.624,4.900,0.00,0.00,0
2619,1,49.61,14.50,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.02,5.603,4.887,5.634,4.905,0.00,0.00,0
2639,1,49.91,14.58,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.02,5.613,4.893,5.643,4.911,0.00,0.00,0
2659,1,50.21,14.79,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.02,5.623,4.899,5.652,4.916,0.00,0.00,0
2680,1,50.51,14.76,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.02,5.631,4.904,5.661,4.922,0.00,0.00,0
2699,1,50.81,14.64,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.02,5.641,4.910,5.670,4.927,0.00,0.00,0
2719,1,51.09,14.44,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.02,5.651,4.915,5.679,4.933,0.00,0.00,0
2739,1,51.37,14.09,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.02,5.661,4.920,5.688,4.938,0.00,0.00,0
2759,1,51.64,13.77,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,-0.02,5.669,4.926,5.696,4.943,0.00,0.00,0
2779,1,51.89,13.45,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.02,0.02,5.678,4.932,5.705,4.948,0.00,0.00,0
2799,1,52.15,13.35,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.02,5.687,4.937,5.714,4.954,0.00,0.00,0
2820,1,52.42,13.40,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.02,5.696,4.942,5.722,4.959,0.00,0.00,0
2839,1,52.69,13.48,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.02,5.705,4.947,5.730,4.964,0.00,0.00,0
2859,1,52.97,13.53,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.02,5.713,4.952,5.739,4.969,0.00,0.00,0
2880,1,53.25,13.50,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.02,5.722,4.958,5.747,4.974,0.00,0.00,0
2899,1,53.51,13.32,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.02,5.730,4.963,5.755,4.979,0.00,0.00,0
2919,1,53.77,13.13,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,0.02,5.738,4.968,5.763,4.984,0.00,0.00,0
2939,1,54.03,12.90,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.01,-0.01,5.746,4.973,5.771,4.989,0.00,0.00,0
2959,1,54.28,12.70,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.00,-0.01,5.755,4.978,5.779,4.993,0.00,0.00,0
2980,1,54.52,12.53,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.00,-0.01,5.763,4.983,5.787,4.998,0.00,0.00,0
2999,1,54.77,12.38,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.00,-0.01,5.771,4.988,5.795,5.003,0.00,0.00,0
3019,1,55.01,12.34,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.00,-0.01,5.779,4.993,5.803,5.007,0.00,0.00,0
3039,1,55.26,12.32,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.00,-0.01,5.786,4.997,5.810,5.012,0.00,0.00,0
3059,1,55.51,12.30,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.00,-0.01,5.795,5.002,5.818,5.017,0.00,0.00,0
3080,1,55.76,12.29,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.00,-0.01,5.802,5.006,5.825,5.021,0.00,0.00,0
3099,1,56.01,12.26,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.00,0.00,5.810,5.011,5.833,5.026,0.00,0.00,0
3119,1,56.25,12.18,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.00,5.817,5.016,5.840,5.030,0.00,0.00,0
3139,1,56.50,12.13,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.00,5.824,5.021,5.847,5.035,0.00,0.00,0
3158,1,56.68,12.07,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.00,5.832,5.025,5.855,5.039,0.00,0.00,0
3180,1,56.97,11.82,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.00,5.840,5.029,5.862,5.043,0.00,0.00,0
3199,1,57.21,11.64,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.00,5.847,5.034,5.869,5.048,0.00,0.00,0
3219,1,57.43,11.39,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.00,5.854,5.038,5.876,5.052,0.00,0.00,0
3239,1,57.65,11.30,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,0.00,5.862,5.042,5.883,5.056,0.00,0.00,0
3259,1,57.87,11.24,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,0.01,-0.08,5.868,5.047,5.890,5.060,0.00,0.00,0
3280,1,58.10,11.16,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.02,-0.08,5.875,5.051,5.897,5.064,0.00,0.00,0
3299,1,58.33,11.24,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.02,-0.08,5.882,5.055,5.903,5.068,0.00,0.00,0
3319,1,58.56,11.31,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.02,-0.08,5.889,5.059,5.910,5.072,0.00,0.00,0
3339,1,58.79,11.37,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.02,-0.08,5.895,5.064,5.917,5.076,0.00,0.00,0
3359,1,59.02,11.43,0.00,0.00,0.00,0.0000,0.0000,-0.23,4.19,-0.02,-0.08,5.902,5.068,5.923,5.080,0.00,0.00,0
