0 Nm | tmp=28.0C | err=0x00
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=-0.6912
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:89.30
# sp_curve_1=0.15:86.90
# sp_curve_2=0.50:87.30
# sp_curve_3=1.00:86.40
# base_sp_fwd=89.30
# base_sp_tip=86.40
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
19,1,-1.55,-0.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,-0.02,3.93,3.54,3.94,3.55,0.00,0.00,0
39,1,-1.55,-0.02,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,-0.02,3.93,3.54,3.95,3.56,0.00,0.00,0
59,1,-1.54,0.07,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,-0.02,3.93,3.54,3.97,3.58,0.00,0.00,0
79,1,-1.52,0.22,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,0.01,3.94,3.55,3.98,3.59,0.00,0.00,0
99,1,-1.50,0.36,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,0.01,3.95,3.56,4.00,3.61,0.00,0.00,0
119,1,-1.45,0.89,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,0.01,3.97,3.57,4.01,3.62,0.00,0.00,0
140,1,-1.36,2.04,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,0.01,3.98,3.58,4.02,3.63,0.00,0.00,0
159,1,-1.25,3.12,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,0.01,3.99,3.59,4.04,3.65,0.00,0.00,0
180,1,-1.14,3.74,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,0.01,4.00,3.60,4.05,3.66,0.00,0.00,0
199,1,-1.02,4.39,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,0.01,4.02,3.61,4.07,3.68,0.00,0.00,0
219,1,-0.91,4.77,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.16,0.01,0.01,4.03,3.62,4.08,3.69,0.00,0.00,0
240,1,-0.76,5.36,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.14,0.01,0.11,4.05,3.63,4.09,3.70,0.00,0.00,0
259,1,-0.58,6.27,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.14,0.02,0.11,4.06,3.64,4.11,3.72,0.00,0.00,0
279,1,-0.27,8.94,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.14,0.02,0.11,4.07,3.65,4.12,3.73,0.00,0.00,0
299,1,0.13,12.32,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.14,0.02,0.11,4.09,3.66,4.14,3.75,0.00,0.00,0
319,1,0.52,15.42,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.14,0.02,0.11,4.10,3.67,4.15,3.76,0.00,0.00,0
340,1,0.97,17.51,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.14,0.02,0.11,4.11,3.68,4.16,3.77,0.00,0.00,0
359,1,1.41,18.68,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.14,0.02,0.11,4.13,3.70,4.18,3.79,0.00,0.00,0
379,1,1.81,19.20,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.14,0.02,0.11,4.14,3.71,4.19,3.80,0.00,0.00,0
399,1,2.22,19.64,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.11,0.02,-0.02,4.16,3.72,4.21,3.82,0.00,0.00,0
419,1,2.65,20.18,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.11,0.00,-0.02,4.17,3.73,4.22,3.83,0.00,0.00,0
440,1,3.13,21.29,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.11,0.00,-0.02,4.18,3.74,4.23,3.84,0.00,0.00,0
459,1,3.59,21.82,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.11,0.00,-0.02,4.20,3.76,4.25,3.86,0.00,0.00,0
479,1,4.12,22.82,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.11,0.00,-0.02,4.21,3.77,4.26,3.87,0.00,0.00,0
499,1,4.64,23.67,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.11,0.00,-0.02,4.23,3.78,4.28,3.89,0.00,0.00,0
519,1,5.08,24.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.11,0.00,-0.02,4.24,3.79,4.29,3.90,0.00,0.00,0
540,1,5.51,23.75,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.11,0.00,-0.02,4.25,3.81,4.30,3.91,0.00,0.00,0
558,1,6.01,23.92,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.05,0.00,0.25,4.27,3.82,4.32,3.93,0.00,0.00,0
580,1,6.52,24.37,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.05,0.01,0.25,4.28,3.83,4.33,3.94,0.00,0.00,0
599,1,6.98,24.51,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.05,0.01,0.25,4.30,3.85,4.35,3.96,0.00,0.00,0
619,1,7.41,24.20,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.05,0.01,0.25,4.31,3.86,4.36,3.97,0.00,0.00,0
640,1,7.90,24.23,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.05,0.01,0.25,4.32,3.87,4.37,3.98,0.00,0.00,0
659,1,8.41,24.62,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.05,0.01,0.25,4.34,3.88,4.39,4.00,0.00,0.00,0
679,1,8.93,25.04,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.05,0.01,0.25,4.35,3.90,4.40,4.01,0.00,0.00,0
700,1,9.48,25.68,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.05,0.01,0.25,4.37,3.91,4.42,4.03,0.00,0.00,0
719,1,10.03,26.08,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.02,0.01,0.08,4.38,3.92,4.43,4.04,0.00,0.00,0
739,1,10.56,26.18,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.02,-0.00,0.08,4.39,3.94,4.44,4.05,0.00,0.00,0
760,1,11.13,26.56,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.02,-0.00,0.08,4.41,3.95,4.46,4.07,0.00,0.00,0
779,1,11.72,27.07,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.02,-0.00,0.08,4.42,3.96,4.47,4.08,0.00,0.00,0
799,1,12.30,27.53,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.02,-0.00,0.08,4.44,3.98,4.49,4.09,0.00,0.00,0
820,1,12.78,27.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.02,-0.00,0.08,4.45,3.99,4.50,4.11,0.00,0.00,0
839,1,13.35,26.97,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.02,-0.00,0.08,4.47,4.01,4.51,4.12,0.00,0.00,0
860,1,13.88,27.15,0.00,0.00,0.00,0.0000,0.0000,-0.85,-5.02,-0.00,0.08,4.48,4.02,4.53,4.13,0.00,0.00,0
879,1,14.36,26.59,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.93,-0.00,0.28,4.49,4.03,4.54,4.15,0.00,0.00,0
899,1,14.91,26.67,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.93,-0.00,0.28,4.51,4.05,4.56,4.16,0.00,0.00,0
919,1,15.50,27.42,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.93,-0.00,0.28,4.52,4.06,4.57,4.17,0.00,0.00,0
939,1,16.10,28.11,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.93,-0.00,0.28,4.53,4.07,4.58,4.18,0.00,0.00,0
960,1,16.62,27.99,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.93,-0.00,0.28,4.55,4.09,4.60,4.20,0.00,0.00,0
979,1,17.21,27.99,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.93,-0.00,0.28,4.56,4.10,4.61,4.21,0.00,0.00,0
999,1,17.77,27.97,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.93,-0.00,0.28,4.58,4.12,4.63,4.22,0.00,0.00,0
1019,1,18.34,28.13,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.93,-0.00,0.28,4.59,4.13,4.64,4.23,0.00,0.00,0
1039,1,18.91,28.32,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.86,-0.00,0.16,4.61,4.14,4.65,4.24,0.00,0.00,0
1059,1,19.43,28.16,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.86,-0.03,0.16,4.62,4.16,4.67,4.25,0.00,0.00,0
1079,1,20.01,28.26,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.86,-0.03,0.16,4.63,4.17,4.68,4.27,0.00,0.00,0
1099,1,20.59,28.52,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.86,-0.03,0.16,4.65,4.19,4.70,4.28,0.00,0.00,0
1119,1,21.11,28.26,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.86,-0.03,0.16,4.66,4.20,4.71,4.29,0.00,0.00,0
1139,1,21.64,27.95,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.86,-0.03,0.16,4.68,4.21,4.72,4.30,0.00,0.00,0
1160,1,22.31,29.15,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.86,-0.03,0.16,4.69,4.23,4.74,4.31,0.00,0.00,0
1179,1,22.91,29.63,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.86,-0.03,0.16,4.70,4.24,4.75,4.32,0.00,0.00,0
1198,1,23.43,28.84,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.77,-0.03,0.37,4.72,4.26,4.77,4.33,0.00,0.00,0
1220,1,24.05,29.19,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.77,0.04,0.37,4.73,4.27,4.78,4.34,0.00,0.00,0
1239,1,24.67,29.74,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.77,0.04,0.37,4.75,4.28,4.79,4.36,0.00,0.00,0
1260,1,25.21,29.30,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.77,0.04,0.37,4.76,4.30,4.81,4.37,0.00,0.00,0
1279,1,25.82,29.13,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.77,0.04,0.37,4.78,4.31,4.82,4.38,0.00,0.00,0
1299,1,26.44,29.51,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.77,0.04,0.37,4.79,4.33,4.84,4.39,0.00,0.00,0
1318,1,27.06,29.83,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.77,0.04,0.37,4.80,4.34,4.85,4.40,0.00,0.00,0
1340,1,27.58,29.23,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.77,0.04,0.37,4.82,4.35,4.86,4.41,0.00,0.00,0
1360,1,28.22,29.54,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.69,0.04,0.31,4.83,4.37,4.88,4.42,0.00,0.00,0
1379,1,28.85,30.20,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.69,-0.01,0.31,4.85,4.38,4.89,4.43,0.00,0.00,0
1399,1,29.52,30.96,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.69,-0.01,0.31,4.86,4.40,4.91,4.44,0.00,0.00,0
1419,1,30.09,30.74,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.69,-0.01,0.31,4.87,4.41,4.92,4.45,0.00,0.00,0
1439,1,30.70,30.16,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.69,-0.01,0.31,4.89,4.42,4.93,4.46,0.00,0.00,0
1460,1,31.29,29.58,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.69,-0.01,0.31,4.90,4.43,4.95,4.47,0.00,0.00,0
1479,1,31.79,27.92,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.69,-0.01,0.31,4.92,4.45,4.96,4.48,0.00,0.00,0
1499,1,32.28,26.07,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.69,-0.01,0.31,4.93,4.46,4.98,4.49,0.00,0.00,0
1519,1,32.58,23.29,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.62,-0.01,0.11,4.94,4.47,4.99,4.50,0.00,0.00,0
1539,1,32.91,21.08,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.62,-0.02,0.11,4.96,4.48,5.00,4.51,0.00,0.00,0
1560,1,33.24,20.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.62,-0.02,0.11,4.97,4.48,5.02,4.51,0.00,0.00,0
1579,1,33.61,19.64,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.62,-0.02,0.11,4.99,4.49,5.03,4.52,0.00,0.00,0
1599,1,34.03,20.20,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.62,-0.02,0.11,5.00,4.50,5.05,4.53,0.00,0.00,0
1619,1,34.48,20.86,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.62,-0.02,0.11,5.01,4.51,5.06,4.54,0.00,0.00,0
1639,1,34.93,21.22,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.62,-0.02,0.11,5.03,4.52,5.07,4.55,0.00,0.00,0
1660,1,35.39,21.49,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.62,-0.02,0.11,5.04,4.53,5.09,4.56,0.00,0.00,0
1679,1,35.81,21.12,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.61,-0.02,-0.03,5.06,4.54,5.10,4.57,0.00,0.00,0
1699,1,36.24,20.83,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.61,0.02,-0.03,5.07,4.55,5.12,4.58,0.00,0.00,0
1719,1,36.67,20.58,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.61,0.02,-0.03,5.09,4.56,5.13,4.59,0.00,0.00,0
1739,1,37.13,20.72,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.61,0.02,-0.03,5.10,4.57,5.14,4.59,0.00,0.00,0
1760,1,37.47,19.75,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.61,0.02,-0.03,5.11,4.58,5.16,4.60,0.00,0.00,0
1779,1,37.83,19.06,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.61,0.02,-0.03,5.13,4.58,5.17,4.61,0.00,0.00,0
1799,1,38.21,18.83,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.61,0.02,-0.03,5.14,4.59,5.19,4.62,0.00,0.00,0
1819,1,38.45,17.65,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.61,0.02,-0.03,5.15,4.60,5.20,4.63,0.00,0.00,0
1838,1,38.80,17.57,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.52,0.02,0.19,5.17,4.61,5.21,4.64,0.00,0.00,0
1860,1,39.17,18.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.52,0.01,0.19,5.18,4.62,5.23,4.64,0.00,0.00,0
1879,1,39.64,19.38,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.52,0.01,0.19,5.20,4.63,5.24,4.65,0.00,0.00,0
1899,1,40.02,19.23,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.52,0.01,0.19,5.21,4.63,5.25,4.66,0.00,0.00,0
1919,1,40.40,18.91,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.52,0.01,0.19,5.22,4.64,5.26,4.67,0.00,0.00,0
1939,1,40.75,18.54,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.52,0.01,0.19,5.24,4.65,5.28,4.67,0.00,0.00,0
1959,1,41.10,18.13,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.52,0.01,0.19,5.25,4.66,5.29,4.68,0.00,0.00,0
1979,1,41.47,18.04,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.52,0.01,0.19,5.26,4.67,5.30,4.69,0.00,0.00,0
1999,1,41.87,18.38,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.48,0.01,0.29,5.27,4.67,5.32,4.70,0.00,0.00,0
2019,1,42.27,18.61,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.48,-0.03,0.29,5.29,4.68,5.33,4.70,0.00,0.00,0
2039,1,42.68,18.89,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.48,-0.03,0.29,5.30,4.69,5.34,4.71,0.00,0.00,0
2060,1,42.95,17.54,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.48,-0.03,0.29,5.31,4.70,5.35,4.72,0.00,0.00,0
2079,1,43.28,16.98,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.48,-0.03,0.29,5.33,4.70,5.36,4.73,0.00,0.00,0
2100,1,43.58,16.56,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.48,-0.03,0.29,5.34,4.71,5.38,4.73,0.00,0.00,0
2119,1,43.93,16.77,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.48,-0.03,0.29,5.35,4.72,5.39,4.74,0.00,0.00,0
2139,1,44.35,17.72,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.48,-0.03,0.29,5.36,4.73,5.40,4.75,0.00,0.00,0
2160,1,44.63,16.97,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.41,-0.03,0.22,5.37,4.73,5.41,4.76,0.00,0.00,0
2179,1,44.98,16.78,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.41,-0.00,0.22,5.39,4.74,5.42,4.76,0.00,0.00,0
2199,1,45.31,16.55,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.41,-0.00,0.22,5.40,4.75,5.43,4.77,0.00,0.00,0
2219,1,45.66,16.53,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.41,-0.00,0.22,5.41,4.75,5.44,4.78,0.00,0.00,0
2239,1,46.05,17.27,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.41,-0.00,0.22,5.42,4.76,5.46,4.78,0.00,0.00,0
2260,1,46.38,17.07,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.41,-0.00,0.22,5.43,4.77,5.47,4.79,0.00,0.00,0
2279,1,46.66,16.17,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.41,-0.00,0.22,5.44,4.77,5.48,4.80,0.00,0.00,0
2299,1,46.94,15.56,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.41,-0.00,0.22,5.45,4.78,5.49,4.80,0.00,0.00,0
2319,1,47.25,15.52,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.37,-0.00,0.01,5.47,4.79,5.50,4.81,0.00,0.00,0
2339,1,47.57,15.74,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.37,-0.01,0.01,5.48,4.79,5.51,4.82,0.00,0.00,0
2359,1,47.94,16.40,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.37,-0.01,0.01,5.49,4.80,5.52,4.82,0.00,0.00,0
2379,1,48.33,17.04,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.37,-0.01,0.01,5.50,4.81,5.53,4.83,0.00,0.00,0
2399,1,48.74,17.61,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.37,-0.01,0.01,5.51,4.81,5.54,4.83,0.00,0.00,0
2419,1,49.06,16.86,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.37,-0.01,0.01,5.52,4.82,5.55,4.84,0.00,0.00,0
2439,1,49.32,15.48,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.37,-0.01,0.01,5.53,4.83,5.56,4.85,0.00,0.00,0
2460,1,49.57,14.40,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.37,-0.01,0.01,5.54,4.83,5.57,4.85,0.00,0.00,0
2479,1,49.84,14.20,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.32,-0.01,0.29,5.55,4.84,5.58,4.86,0.00,0.00,0
2500,1,50.19,15.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.32,-0.07,0.29,5.56,4.85,5.59,4.86,0.00,0.00,0
2519,1,50.42,14.35,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.32,-0.07,0.29,5.57,4.85,5.60,4.87,0.00,0.00,0
2539,1,50.67,14.05,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.32,-0.07,0.29,5.58,4.86,5.61,4.88,0.00,0.00,0
2560,1,50.93,13.74,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.32,-0.07,0.29,5.59,4.86,5.62,4.88,0.00,0.00,0
2579,1,51.21,13.93,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.32,-0.07,0.29,5.60,4.87,5.63,4.89,0.00,0.00,0
2598,1,51.46,14.47,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.32,-0.07,0.29,5.61,4.88,5.64,4.89,0.00,0.00,0
2620,1,51.90,15.47,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.32,-0.07,0.29,5.62,4.88,5.65,4.90,0.00,0.00,0
2639,1,52.30,16.55,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.27,-0.07,0.56,5.63,4.89,5.66,4.90,0.00,0.00,0
2660,1,52.65,16.55,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.27,-0.03,0.56,5.64,4.89,5.67,4.91,0.00,0.00,0
2679,1,52.86,14.63,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.27,-0.03,0.56,5.65,4.90,5.68,4.92,0.00,0.00,0
2700,1,53.09,13.56,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.27,-0.03,0.56,5.65,4.90,5.68,4.92,0.00,0.00,0
2719,1,53.32,12.95,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.27,-0.03,0.56,5.66,4.91,5.69,4.93,0.00,0.00,0
2740,1,53.56,12.73,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.27,-0.03,0.56,5.67,4.91,5.70,4.93,0.00,0.00,0
2759,1,53.80,12.73,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.27,-0.03,0.56,5.68,4.92,5.71,4.94,0.00,0.00,0
2780,1,54.06,12.84,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.27,-0.03,0.56,5.69,4.92,5.72,4.94,0.00,0.00,0
2799,1,54.35,13.26,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,-0.03,-0.01,5.70,4.93,5.73,4.95,0.00,0.00,0
2819,1,54.64,13.66,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.01,-0.01,5.71,4.94,5.74,4.95,0.00,0.00,0
2839,1,54.94,13.92,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.01,-0.01,5.72,4.94,5.75,4.96,0.00,0.00,0
2859,1,55.24,14.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.01,-0.01,5.73,4.95,5.75,4.96,0.00,0.00,0
2879,1,55.53,13.95,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.01,-0.01,5.73,4.95,5.76,4.97,0.00,0.00,0
2899,1,55.80,13.67,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.01,-0.01,5.74,4.96,5.77,4.97,0.00,0.00,0
2919,1,56.06,13.21,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.01,-0.01,5.75,4.96,5.78,4.98,0.00,0.00,0
2939,1,56.31,12.87,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.01,-0.01,5.76,4.97,5.79,4.98,0.00,0.00,0
2959,1,56.54,12.53,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.01,-0.03,5.77,4.97,5.79,4.99,0.00,0.00,0
2979,1,56.78,12.20,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.04,-0.03,5.78,4.98,5.80,4.99,0.00,0.00,0
2999,1,57.01,11.98,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.04,-0.03,5.78,4.98,5.81,5.00,0.00,0.00,0
3019,1,57.25,11.84,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.04,-0.03,5.79,4.99,5.82,5.00,0.00,0.00,0
3039,1,57.49,12.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.04,-0.03,5.80,4.99,5.82,5.01,0.00,0.00,0
3059,1,57.74,12.24,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.04,-0.03,5.81,5.00,5.83,5.01,0.00,0.00,0
3080,1,58.01,12.53,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.04,-0.03,5.81,5.00,5.84,5.02,0.00,0.00,0
3099,1,58.29,12.84,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.25,0.04,-0.03,5.82,5.01,5.85,5.02,0.00,0.00,0
3118,1,58.61,13.41,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.24,0.04,0.32,5.83,5.01,5.85,5.02,0.00,0.00,0
3140,1,58.95,14.10,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.24,-0.03,0.32,5.84,5.01,5.86,5.03,0.00,0.00,0
3159,1,59.21,13.67,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.24,-0.03,0.32,5.84,5.02,5.87,5.03,0.00,0.00,0
3180,1,59.42,12.71,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.24,-0.03,0.32,5.85,5.02,5.88,5.04,0.00,0.00,0
3199,1,59.62,11.81,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.24,-0.03,0.32,5.86,5.03,5.88,5.04,0.00,0.00,0
3219,1,59.82,11.03,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.24,-0.03,0.32,5.87,5.03,5.89,5.05,0.00,0.00,0
3238,1,60.06,11.20,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.24,-0.03,0.32,5.87,5.04,5.90,5.05,0.00,0.00,0
3260,1,60.18,10.04,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.24,-0.03,0.32,5.88,5.04,5.90,5.05,0.00,0.00,0
3280,1,60.35,9.89,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.17,-0.03,0.03,5.89,5.04,5.91,5.06,0.00,0.00,0
3299,1,60.55,10.10,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.17,0.03,0.03,5.89,5.05,5.92,5.06,0.00,0.00,0
3319,1,60.79,10.69,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.17,0.03,0.03,5.90,5.05,5.92,5.07,0.00,0.00,0
3339,1,61.04,11.31,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.17,0.03,0.03,5.91,5.06,5.93,5.07,0.00,0.00,0
3359,1,61.31,11.84,0.00,0.00,0.00,0.0000,0.0000,-0.85,-4.17,0.03,0.03,5.91,5.06,5.94,5.07,0.00,0.00,0
