# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_vel_gain=0.0200
# arm_drift_gain=0.0300
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# vel_trim_gain=0.2000
# vel_trim_max=4.00
# vel_trim_filter=0.0500
# vel_trim_gate=3.00
# vel_trim_cmd_gain=0.1000
# vel_trim_drift_gain=0.0300
# stuck_cmd_threshold=2.00
# stuck_vel_threshold=0.50
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,0.75,-0.12,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.01,0.06,3.91,3.55,3.93,3.56,0.00,0.00,0
40,1,0.70,-0.10,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.01,-0.01,3.91,3.55,3.94,3.58,0.00,0.00,0
60,1,0.65,-0.13,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.07,-0.01,3.92,3.56,3.95,3.59,0.00,0.00,0
78,1,0.61,-0.09,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.07,-0.01,3.93,3.56,3.97,3.61,0.00,0.00,0
100,1,0.58,0.27,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.07,-0.01,3.94,3.57,3.98,3.62,0.00,0.00,0
119,1,0.61,1.29,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.07,-0.01,3.95,3.58,4.00,3.63,0.00,0.00,0
139,1,0.67,2.54,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.07,-0.01,3.96,3.59,4.01,3.65,0.00,0.00,0
160,1,0.75,3.50,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.07,-0.01,3.98,3.60,4.02,3.66,0.00,0.00,0
180,1,0.83,4.16,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.58,-0.07,-0.01,3.99,3.62,4.04,3.68,0.00,0.00,0
199,1,0.89,4.56,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,-0.07,0.00,4.01,3.63,4.05,3.69,0.00,0.00,0
219,1,0.98,5.15,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,0.01,0.00,4.02,3.63,4.07,3.70,0.00,0.00,0
239,1,1.10,6.04,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,0.01,0.00,4.03,3.65,4.08,3.72,0.00,0.00,0
260,1,1.30,8.03,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,0.01,0.00,4.05,3.66,4.09,3.73,0.00,0.00,0
279,1,1.63,11.45,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,0.01,0.00,4.06,3.67,4.11,3.75,0.00,0.00,0
299,1,2.04,14.82,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,0.01,0.00,4.07,3.68,4.12,3.76,0.00,0.00,0
319,1,2.48,17.57,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,0.01,0.00,4.09,3.69,4.14,3.77,0.00,0.00,0
338,1,2.92,19.28,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,0.01,0.00,4.10,3.70,4.15,3.79,0.00,0.00,0
360,1,3.42,19.96,0.00,0.00,0.00,-0.0623,0.6919,-227.11,-221.57,0.01,-0.05,4.11,3.71,4.16,3.80,0.00,0.00,0
380,1,3.80,20.21,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.05,4.13,3.72,4.18,3.82,0.00,0.00,0
399,1,4.08,20.44,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.05,4.14,3.74,4.19,3.83,0.00,0.00,0
419,1,4.47,20.90,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.05,4.16,3.75,4.21,3.84,0.00,0.00,0
439,1,4.88,21.36,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.05,4.17,3.76,4.22,3.86,0.00,0.00,0
459,1,5.32,22.10,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.05,4.18,3.77,4.23,3.87,0.00,0.00,0
480,1,5.89,22.97,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.05,4.20,3.78,4.25,3.89,0.00,0.00,0
500,1,6.23,23.32,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.05,4.21,3.80,4.26,3.90,0.00,0.00,0
519,1,6.69,23.70,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.00,4.23,3.81,4.28,3.91,0.00,0.00,0
539,1,7.15,24.07,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.00,4.24,3.82,4.29,3.93,0.00,0.00,0
560,1,7.62,24.33,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.00,4.26,3.84,4.30,3.94,0.00,0.00,0
580,1,8.09,24.60,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.00,4.27,3.85,4.32,3.96,0.00,0.00,0
598,1,8.57,24.94,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.00,4.28,3.86,4.33,3.97,0.00,0.00,0
620,1,9.17,25.15,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.00,4.30,3.88,4.35,3.98,0.00,0.00,0
639,1,9.55,25.39,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.00,4.31,3.89,4.36,4.00,0.00,0.00,0
660,1,10.04,25.69,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.00,4.33,3.90,4.37,4.01,0.00,0.00,0
679,1,10.54,25.94,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.03,4.34,3.92,4.39,4.02,0.00,0.00,0
699,1,11.04,26.10,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.03,-0.03,4.35,3.93,4.40,4.04,0.00,0.00,0
718,1,11.55,26.36,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.03,-0.03,4.37,3.94,4.42,4.05,0.00,0.00,0
740,1,12.20,26.78,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.03,-0.03,4.38,3.96,4.43,4.06,0.00,0.00,0
760,1,12.59,26.83,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.03,-0.03,4.40,3.97,4.44,4.08,0.00,0.00,0
780,1,13.12,27.01,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.03,-0.03,4.41,3.98,4.46,4.09,0.00,0.00,0
799,1,13.64,27.09,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.03,-0.03,4.42,4.00,4.47,4.10,0.00,0.00,0
819,1,14.14,26.87,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.03,-0.03,4.44,4.01,4.49,4.11,0.00,0.00,0
839,1,14.65,26.80,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.03,-0.01,4.45,4.02,4.50,4.13,0.00,0.00,0
860,1,15.17,26.91,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.01,4.47,4.04,4.51,4.14,0.00,0.00,0
879,1,15.69,27.03,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.01,4.48,4.05,4.53,4.15,0.00,0.00,0
899,1,16.22,27.18,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.01,4.50,4.06,4.54,4.16,0.00,0.00,0
919,1,16.75,27.40,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.01,4.51,4.08,4.56,4.17,0.00,0.00,0
939,1,17.29,27.60,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.01,4.52,4.09,4.57,4.19,0.00,0.00,0
960,1,17.83,27.69,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.01,4.54,4.11,4.58,4.20,0.00,0.00,0
979,1,18.37,27.85,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,-0.01,4.55,4.12,4.60,4.21,0.00,0.00,0
1000,1,19.05,27.96,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.00,0.01,4.56,4.13,4.61,4.22,0.00,0.00,0
1020,1,19.46,28.05,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.01,4.58,4.15,4.63,4.23,0.00,0.00,0
1039,1,20.01,28.25,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.01,4.59,4.16,4.64,4.24,0.00,0.00,0
1060,1,20.56,28.49,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.01,4.61,4.18,4.65,4.26,0.00,0.00,0
1079,1,21.12,28.55,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.01,4.62,4.19,4.67,4.27,0.00,0.00,0
1098,1,21.69,28.71,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.01,4.64,4.20,4.68,4.28,0.00,0.00,0
1120,1,22.39,28.85,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.01,4.65,4.22,4.70,4.29,0.00,0.00,0
1140,1,22.81,28.83,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.01,4.66,4.23,4.71,4.30,0.00,0.00,0
1160,1,23.37,28.91,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.01,4.68,4.25,4.72,4.31,0.00,0.00,0
1180,1,23.94,29.11,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.01,4.69,4.26,4.74,4.32,0.00,0.00,0
1199,1,24.52,29.31,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.01,4.71,4.27,4.75,4.33,0.00,0.00,0
1219,1,25.09,29.41,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.01,4.72,4.29,4.77,4.34,0.00,0.00,0
1238,1,25.67,29.58,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.01,4.73,4.30,4.78,4.35,0.00,0.00,0
1260,1,26.40,29.75,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.01,4.75,4.32,4.79,4.36,0.00,0.00,0
1279,1,26.84,29.77,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.01,4.76,4.33,4.81,4.37,0.00,0.00,0
1299,1,27.41,29.62,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.01,4.78,4.34,4.82,4.38,0.00,0.00,0
1319,1,27.97,29.20,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.02,4.79,4.36,4.84,4.39,0.00,0.00,0
1339,1,28.48,28.16,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.02,4.80,4.37,4.85,4.40,0.00,0.00,0
1359,1,28.95,26.73,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.02,4.82,4.38,4.86,4.41,0.00,0.00,0
1380,1,29.47,24.62,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.02,4.83,4.39,4.88,4.42,0.00,0.00,0
1399,1,29.74,23.21,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.02,4.85,4.40,4.89,4.43,0.00,0.00,0
1419,1,30.10,21.73,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.02,4.86,4.41,4.91,4.44,0.00,0.00,0
1439,1,30.46,20.94,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.02,4.87,4.42,4.92,4.45,0.00,0.00,0
1460,1,30.83,20.60,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.02,4.89,4.43,4.93,4.46,0.00,0.00,0
1479,1,31.23,20.81,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.02,0.04,4.90,4.44,4.95,4.47,0.00,0.00,0
1499,1,31.65,21.07,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,4.92,4.45,4.96,4.48,0.00,0.00,0
1519,1,32.08,21.05,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,4.93,4.46,4.98,4.48,0.00,0.00,0
1539,1,32.48,20.80,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,4.95,4.47,4.99,4.49,0.00,0.00,0
1560,1,32.88,20.44,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,4.96,4.47,5.00,4.50,0.00,0.00,0
1580,1,33.25,19.92,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,4.97,4.48,5.02,4.51,0.00,0.00,0
1599,1,33.61,19.37,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,4.99,4.49,5.03,4.52,0.00,0.00,0
1618,1,33.96,19.07,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,5.00,4.50,5.05,4.53,0.00,0.00,0
1640,1,34.42,18.88,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.03,5.02,4.51,5.06,4.54,0.00,0.00,0
1660,1,34.79,18.93,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.07,0.03,5.03,4.52,5.07,4.55,0.00,0.00,0
1679,1,35.07,19.20,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.07,0.03,5.05,4.53,5.09,4.55,0.00,0.00,0
1699,1,35.46,19.39,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.07,0.03,5.06,4.54,5.10,4.56,0.00,0.00,0
1719,1,35.85,19.36,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.07,0.03,5.07,4.54,5.11,4.57,0.00,0.00,0
1738,1,36.22,19.15,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.07,0.03,5.09,4.55,5.13,4.58,0.00,0.00,0
1760,1,36.67,18.69,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.07,0.03,5.10,4.56,5.14,4.59,0.00,0.00,0
1780,1,37.01,18.32,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.07,0.03,5.11,4.57,5.15,4.59,0.00,0.00,0
1799,1,37.27,18.14,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.07,0.01,5.13,4.58,5.17,4.60,0.00,0.00,0
1819,1,37.61,18.00,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.01,5.14,4.59,5.18,4.61,0.00,0.00,0
1839,1,37.95,17.83,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.01,5.15,4.59,5.19,4.62,0.00,0.00,0
1860,1,38.30,17.77,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.01,5.16,4.60,5.20,4.63,0.00,0.00,0
1878,1,38.65,17.90,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.01,5.18,4.61,5.22,4.63,0.00,0.00,0
1900,1,39.09,17.87,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.01,5.19,4.62,5.23,4.64,0.00,0.00,0
1919,1,39.35,17.79,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.01,5.20,4.62,5.24,4.65,0.00,0.00,0
1939,1,39.69,17.51,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.01,5.21,4.63,5.25,4.66,0.00,0.00,0
1960,1,40.02,17.16,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.01,5.23,4.64,5.26,4.66,0.00,0.00,0
1980,1,40.34,16.84,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.05,0.01,5.24,4.65,5.27,4.67,0.00,0.00,0
1998,1,40.66,16.59,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.05,0.01,5.25,4.65,5.29,4.68,0.00,0.00,0
2020,1,41.07,16.61,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.05,0.01,5.26,4.66,5.30,4.68,0.00,0.00,0
2039,1,41.31,16.71,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.05,0.01,5.27,4.67,5.31,4.69,0.00,0.00,0
2060,1,41.64,16.70,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.05,0.01,5.29,4.68,5.32,4.70,0.00,0.00,0
2079,1,41.97,16.56,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.05,0.01,5.30,4.68,5.33,4.71,0.00,0.00,0
2099,1,42.29,16.29,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.05,0.01,5.31,4.69,5.34,4.71,0.00,0.00,0
2119,1,42.61,16.16,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.05,-0.03,5.32,4.70,5.35,4.72,0.00,0.00,0
2139,1,42.92,16.06,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.00,-0.03,5.33,4.70,5.36,4.73,0.00,0.00,0
2159,1,43.24,16.04,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.00,-0.03,5.34,4.71,5.38,4.73,0.00,0.00,0
2180,1,43.63,15.87,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.00,-0.03,5.36,4.72,5.39,4.74,0.00,0.00,0
2199,1,43.87,15.80,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.00,-0.03,5.37,4.72,5.40,4.75,0.00,0.00,0
2219,1,44.18,15.58,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.00,-0.03,5.38,4.73,5.41,4.75,0.00,0.00,0
2239,1,44.47,15.35,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.00,-0.03,5.39,4.74,5.42,4.76,0.00,0.00,0
2258,1,44.77,15.18,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.00,-0.03,5.40,4.74,5.43,4.76,0.00,0.00,0
2280,1,45.14,15.15,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.00,-0.03,5.41,4.75,5.44,4.77,0.00,0.00,0
2300,1,45.44,15.14,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.03,5.42,4.76,5.45,4.78,0.00,0.00,0
2319,1,45.67,15.11,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.03,5.43,4.76,5.46,4.78,0.00,0.00,0
2339,1,45.97,15.02,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.03,5.44,4.77,5.47,4.79,0.00,0.00,0
2359,1,46.27,14.95,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.03,5.45,4.78,5.48,4.80,0.00,0.00,0
2379,1,46.56,14.77,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.03,5.46,4.78,5.49,4.80,0.00,0.00,0
2400,1,46.91,14.55,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.03,5.47,4.79,5.50,4.81,0.00,0.00,0
2420,1,47.12,14.41,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,-0.03,5.48,4.79,5.51,4.81,0.00,0.00,0
2439,1,47.41,14.32,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.04,0.02,5.49,4.80,5.52,4.82,0.00,0.00,0
2459,1,47.69,14.23,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.02,5.50,4.81,5.53,4.83,0.00,0.00,0
2480,1,47.97,14.13,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.02,5.51,4.81,5.54,4.83,0.00,0.00,0
2500,1,48.24,14.03,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.02,5.52,4.82,5.54,4.84,0.00,0.00,0
2518,1,48.52,13.98,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.02,5.53,4.82,5.55,4.84,0.00,0.00,0
2540,1,48.86,13.92,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.02,5.54,4.83,5.56,4.85,0.00,0.00,0
2559,1,49.07,13.99,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.02,5.55,4.84,5.57,4.85,0.00,0.00,0
2580,1,49.35,14.01,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.02,5.55,4.84,5.58,4.86,0.00,0.00,0
2599,1,49.63,13.92,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.03,5.56,4.85,5.59,4.86,0.00,0.00,0
2619,1,49.90,13.77,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.03,5.57,4.85,5.60,4.87,0.00,0.00,0
2638,1,50.17,13.63,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.03,5.58,4.86,5.61,4.88,0.00,0.00,0
2660,1,50.49,13.37,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.03,5.59,4.86,5.62,4.88,0.00,0.00,0
2680,1,50.69,13.30,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.03,5.60,4.87,5.62,4.89,0.00,0.00,0
2700,1,50.94,13.12,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.03,5.61,4.87,5.63,4.89,0.00,0.00,0
2719,1,51.20,13.06,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.03,5.62,4.88,5.64,4.90,0.00,0.00,0
2739,1,51.46,13.04,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.03,5.63,4.88,5.65,4.90,0.00,0.00,0
2759,1,51.72,13.07,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,-0.01,5.63,4.89,5.66,4.91,0.00,0.00,0
2780,1,51.98,13.05,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.01,-0.01,5.64,4.89,5.66,4.91,0.00,0.00,0
2799,1,52.24,12.85,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.01,-0.01,5.65,4.90,5.67,4.92,0.00,0.00,0
2819,1,52.49,12.61,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.01,-0.01,5.66,4.90,5.68,4.92,0.00,0.00,0
2839,1,52.73,12.30,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.01,-0.01,5.67,4.91,5.69,4.93,0.00,0.00,0
2859,1,52.97,12.09,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.01,-0.01,5.67,4.91,5.70,4.93,0.00,0.00,0
2880,1,53.21,12.00,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.01,-0.01,5.68,4.92,5.70,4.94,0.00,0.00,0
2898,1,53.44,11.94,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.01,-0.01,5.69,4.92,5.71,4.94,0.00,0.00,0
2920,1,53.75,12.00,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,0.01,0.03,5.70,4.93,5.72,4.94,0.00,0.00,0
2940,1,53.94,12.09,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.03,5.71,4.93,5.73,4.95,0.00,0.00,0
2959,1,54.19,12.25,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.03,5.71,4.94,5.73,4.95,0.00,0.00,0
2980,1,54.44,12.25,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.03,5.72,4.94,5.74,4.96,0.00,0.00,0
2999,1,54.69,12.16,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.03,5.73,4.95,5.75,4.96,0.00,0.00,0
3018,1,54.93,11.92,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.03,5.73,4.95,5.76,4.97,0.00,0.00,0
3040,1,55.21,11.38,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.03,5.74,4.96,5.76,4.97,0.00,0.00,0
3060,1,55.37,11.17,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.03,5.75,4.96,5.77,4.98,0.00,0.00,0
3080,1,55.58,11.09,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.05,0.04,5.76,4.97,5.78,4.98,0.00,0.00,0
3099,1,55.80,11.03,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,5.76,4.97,5.78,4.98,0.00,0.00,0
3119,1,56.02,11.08,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,5.77,4.98,5.79,4.99,0.00,0.00,0
3139,1,56.25,11.07,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,5.78,4.98,5.80,4.99,0.00,0.00,0
3158,1,56.47,11.01,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,5.79,4.98,5.80,5.00,0.00,0.00,0
3180,1,56.74,10.88,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,5.79,4.99,5.81,5.00,0.00,0.00,0
3199,1,56.90,10.86,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,5.80,4.99,5.82,5.01,0.00,0.00,0
3219,1,57.12,10.82,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.04,5.81,5.00,5.82,5.01,0.00,0.00,0
3239,1,57.34,10.79,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.03,0.00,5.81,5.00,5.83,5.01,0.00,0.00,0
3259,1,57.55,10.68,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.00,5.82,5.00,5.84,5.02,0.00,0.00,0
3279,1,57.76,10.57,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.00,5.82,5.01,5.84,5.02,0.00,0.00,0
3300,1,58.02,10.45,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.00,5.83,5.01,5.85,5.03,0.00,0.00,0
3319,1,58.18,10.48,0.00,0.00,0.00,-0.0623,0.6919,-227.10,-221.57,-0.01,0.00,5.84,5.02,5.86,5.03,0.00,0.00,0
