time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,committed,wheel_rad_s,setpoint,wheel_request,supported
0.0,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,86.63,0.0,0.0
0.02,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.04,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.06,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.08,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.1,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.12,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.14,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.16,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.18,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.2,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.22,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.24,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.26,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.28,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.3,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.32,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.34,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.36,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.38,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.4,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.42,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.44,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.46,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,86.63,0.0,0.0
0.48,86.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,86.63,0.0,0.0
0.5,86.63,0.0,0.0,0.0,-0.004999999888241291,0.004999999888241291,0.0,0.0,2,0.0,0.0,86.63,0.0,0.0
0.52,86.63338759659068,0.12645624953190862,-0.002016402585763798,0.002016402585763798,-0.009999999776482582,0.009999999776482582,0.008789136954394766,-0.008789136954394766,2,0.0,-0.001637650373844772,86.63,0.0,0.0
0.54,86.63866924512055,0.19896478137058318,-0.00523603186154051,0.00523603186154051,-0.014999999664723873,0.014999999664723873,0.014336243259624088,-0.014336243259624088,2,0.0,-0.002913573819710314,86.63691939929022,0.0,0.0
0.56,86.64511783579228,0.24767148019070162,-0.009173649934683814,0.009173649934683814,-0.019999999552965164,0.019999999552965164,0.017948756310878004,-0.017948756310878004,2,0.0,-0.0024599601594133286,86.64800911162811,0.0,0.0
