time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,committed,wheel_rad_s,setpoint,wheel_request,supported
0.0,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,84.62,0.0,0.0
0.02,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.04,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.06,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.08,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.1,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.12,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.14,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.16,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.18,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.2,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.22,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.24,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.26,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.28,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.3,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.32,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.34,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.36,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.38,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.4,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.42,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.44,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.46,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,84.62,0.0,0.0
0.48,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,84.62,0.0,0.0
0.5,84.62,0.0,0.0,0.0,-0.004999999888241291,0.004999999888241291,0.0,0.0,2,0.0,0.0,84.62,0.0,0.0
0.52,84.62167314835028,0.06077183691536256,-0.002016402585763798,0.002016402585763798,-0.009999999776482582,0.009999999776482582,0.008789136954394766,-0.008789136954394766,2,0.0,-0.0008147153606193206,84.62,0.0,0.0
0.54,84.62438155996612,0.10562837328784086,-0.00523603186154051,0.00523603186154051,-0.014999999664723873,0.014999999664723873,0.014336243259624088,-0.014336243259624088,2,0.0,0.0006248399278160751,84.62705393185554,0.0,0.0
0.56,84.62803242748647,0.15368742555497802,-0.009173649934683814,0.009173649934683814,-0.019999999552965164,0.019999999552965164,0.017948756310878004,-0.017948756310878004,2,0.0,0.005636899209814055,84.63867730509457,0.0,0.0
0.58,84.63278416768915,0.21270891554020535,-0.013539705905209856,0.013539705905209856,-0.02499999850988388,0.02499999850988388,0.02040684020848441,-0.02040684020848441,2,0.0,0.014454196255180506,84.65362920455593,0.0,0.0
0.6,84.63887316073301,0.28389375734387134,-0.018161418736848074,0.018161418736848074,-0.029999997466802597,0.029999997466802597,0.022176023298542777,-0.022176023298542777,2,0.0,0.02667890885749421,84.67123690194039,0.0,0.0
0.62,84.64651749939536,0.36493842618055833,-0.022935686996131008,0.022935686996131008,-0.034999996423721313,0.034999996423721313,0.023534090098974877,-0.023534090098974877,2,0.0,0.041586738221537474,84.69105677111557,0.0,0.0
0.64,84.65586916746233,0.451947290031396,-0.02780098804992849,0.02780098804992849,-0.03999999538064003,0.03999999538064003,0.02464679042151876,-0.02464679042151876,2,0.0,0.05832585577973753,84.71271854048703,0.0,0.0
0.66,84.66699610416863,0.5406037316774979,-0.03272061014497027,0.03272061014497027,-0.044999994337558746,0.044999994337558746,0.025613022662713064,-0.025613022662713064,2,0.0,0.07604379901386447,84.73586566337674,0.0,0.0
0.68,84.67988217455718,0.6268604697151411,-0.037672646663161405,0.037672646663161405,-0.04999999329447746,0.04999999329447746,0.026491793827110786,-0.026491793827110786,2,0.0,0.09396505665671663,84.76014256241572,0.0,0.0
0.7000000000000001,84.69443729467842,0.7073169401081538,-0.04264402549887885,0.04264402549887885,-0.05499999225139618,0.05499999225139618,0.027318307013032027,-0.027318307013032027,2,0.0,0.11143469963579239,84.78520195274515,0.0,0.0
0.72,84.71051267655339,0.7793921933920366,-0.047626946272133305,0.047626946272133305,-0.059999991208314896,0.059999991208314896,0.02811356108544684,-0.02811356108544684,2,0.0,0.12793846281394808,84.81071828930759,0.0,0.0
0.74,84.72791791900617,0.8413645258473835,-0.052616754344281855,0.052616754344281855,-0.06499999016523361,0.06499999016523361,0.028890078968489524,-0.028890078968489524,2,0.0,0.14310649749544174,84.83640059199742,0.0,0.0
0.76,84.74643783766224,0.8923258930391176,-0.05761067220180262,0.05761067220180262,-0.06999999284744263,0.06999999284744263,0.029655325822324708,-0.029655325822324708,2,0.0,0.15670599509986488,84.86200183963608,0.0,0.0
0.78,84.76584772545118,0.932084588735243,-0.0626070439506253,0.0626070439506253,-0.07499999552965164,0.07499999552965164,0.030413755282532,-0.030413755282532,2,0.0,0.1686265729180375,84.88732418748181,0.0,0.0
0.8,84.78592628805835,0.9610398105416308,-0.0676048799841745,0.0676048799841745,-0.07999999821186066,0.07999999821186066,0.031168004524971035,-0.031168004524971035,2,0.0,0.1788614154624809,84.91222027890075,0.0,0.0
0.8200000000000001,84.80646591399648,0.9800458213535564,-0.07260358978493525,0.07260358978493525,-0.08500000089406967,0.08500000089406967,0.03191964599944056,-0.03191964599944056,2,0.0,0.18748646930187915,84.93659132683231,0.0,0.0
0.84,84.82728020854212,0.9902773857702855,-0.07760282097960673,0.07760282097960673,-0.09000000357627869,0.09000000357627869,0.032669610488209336,-0.032669610488209336,2,0.0,0.1946394613525709,84.96038282944495,0.0,0.0
0.86,84.84820893042462,0.9931052269172427,-0.08260236330017828,0.08260236330017828,-0.0950000062584877,0.0950000062584877,0.03341844587783221,-0.03341844587783221,2,0.0,0.2005000233375546,84.98357869071754,0.0,0.0
0.88,84.86912059944609,0.9899867714803131,-0.08760209127563322,0.08760209127563322,-0.10000000894069672,0.10000000894069672,0.03416647157444308,-0.03416647157444308,2,0.0,0.20527180688433713,85.00619445866928,0.0,0.0
0.9,84.88991312106847,0.9823751116173086,-0.09260193003497245,0.09260193003497245,-0.10500001162290573,0.10500001162290573,0.034913870647396275,-0.034913870647396275,2,0.0,0.20916713287973338,85.02827026248445,0.0,0.0
0.92,84.91051280966198,0.9716472332320368,-0.09760183490121288,0.09760183490121288,-0.11000001430511475,0.11000001430511475,0.0356607448137064,-0.0356607448137064,2,0.0,0.21239443949520137,85.04986390430209,0.0,0.0
0.9400000000000001,84.93087219575182,0.959051158326844,-0.10260177921472857,0.10260177921472857,-0.11500001698732376,0.11500001698732376,0.036407147249025384,-0.036407147249025384,2,0.0,0.2151485736751435,85.07104444360995,0.0,0.0
0.96,84.95096698306227,0.9456706595567876,-0.10760174706720163,0.10760174706720163,-0.12000001966953278,0.12000001966953278,0.03715310216689996,-0.03715310216689996,2,0.0,0.21760380651268055,85.0918865069779,0.0,0.0
0.98,84.97079248594174,0.9324055610200307,-0.11260172896582893,0.11260172896582893,-0.1250000149011612,0.1250000149011612,0.03789861650250542,-0.03789861650250542,2,0.0,0.21990933751099948,85.11246546512383,0.0,0.0
1.0,84.99035983052445,0.9199651842620219,-0.11760171624139593,0.11760171624139593,-0.1300000101327896,0.1300000101327896,0.03864367379110056,-0.03864367379110056,2,0.0,0.22218698004034698,85.13285354333381,0.0,0.0
